x, y, z, u
0.4, 0.36, 0, 0.120182
0.42, 0.36, 0, 0.122271
0.44, 0.36, 0, 0.123903
0.46, 0.36, 0, 0.125077
0.48, 0.36, 0, 0.125785
0.5, 0.36, 0, 0.126022
0.52, 0.36, 0, 0.125789
0.54, 0.36, 0, 0.125087
0.56, 0.36, 0, 0.123919
0.58, 0.36, 0, 0.122289
0.6, 0.36, 0, 0.120198
0.62, 0.36, 0, 0.117649
0.64, 0.36, 0, 0.114648
0.66, 0.36, 0, 0.111202
0.68, 0.36, 0, 0.107319
0.7, 0.36, 0, 0.103009
0.72, 0.36, 0, 0.0982846
0.74, 0.36, 0, 0.0931588
0.76, 0.36, 0, 0.0876471
0.78, 0.36, 0, 0.0817671
0.8, 0.36, 0, 0.0755384
0.82, 0.36, 0, 0.0689831
0.84, 0.36, 0, 0.0621256
0.86, 0.36, 0, 0.0549925
0.88, 0.36, 0, 0.0476125
0.9, 0.36, 0, 0.0400166
0.92, 0.36, 0, 0.0322374
0.94, 0.36, 0, 0.0243096
0.96, 0.36, 0, 0.0162688
0.98, 0.36, 0, 0.00815228
0.02, 0.4, 0, 0.00953536
0.04, 0.4, 0, 0.0190272
0.06, 0.4, 0, 0.0284267
0.08, 0.4, 0, 0.0376891
0.1, 0.4, 0, 0.0467709
0.12, 0.4, 0, 0.0556309
0.14, 0.4, 0, 0.0642301
0.16, 0.4, 0, 0.0725322
0.18, 0.4, 0, 0.0805034
0.2, 0.4, 0, 0.0881133
0.22, 0.4, 0, 0.0953346
0.24, 0.4, 0, 0.102143
0.26, 0.4, 0, 0.108516
0.28, 0.4, 0, 0.114435
0.3, 0.4, 0, 0.119883
0.32, 0.4, 0, 0.124847
0.34, 0.4, 0, 0.129315
0.36, 0.4, 0, 0.133277
0.38, 0.4, 0, 0.136724
0.4, 0.4, 0, 0.139648
0.42, 0.4, 0, 0.142046
0.44, 0.4, 0, 0.143915
0.46, 0.4, 0, 0.145256
0.48, 0.4, 0, 0.146064
0.5, 0.4, 0, 0.146335
0.52, 0.4, 0, 0.146068
0.54, 0.4, 0, 0.145264
0.56, 0.4, 0, 0.143926
0.58, 0.4, 0, 0.142057
0.6, 0.4, 0, 0.139659
0.62, 0.4, 0, 0.136735
0.64, 0.4, 0, 0.133289
0.66, 0.4, 0, 0.129329
0.68, 0.4, 0, 0.124862
0.7, 0.4, 0, 0.119898
0.72, 0.4, 0, 0.11445
0.74, 0.4, 0, 0.10853
0.76, 0.4, 0, 0.102157
0.78, 0.4, 0, 0.0953482
0.8, 0.4, 0, 0.088126
0.82, 0.4, 0, 0.0805146
0.84, 0.4, 0, 0.072542
0.86, 0.4, 0, 0.0642386
0.88, 0.4, 0, 0.055638
0.9, 0.4, 0, 0.0467767
0.92, 0.4, 0, 0.0376936
0.94, 0.4, 0, 0.0284301
0.96, 0.4, 0, 0.0190294
0.98, 0.4, 0, 0.00953646
0.02, 0.44, 0, 0.0111053
0.04, 0.44, 0, 0.0221573
0.06, 0.44, 0, 0.0330963
0.08, 0.44, 0, 0.0438676
0.1, 0.44, 0, 0.0544187
0.12, 0.44, 0, 0.0647002
0.14, 0.44, 0, 0.0746656
0.16, 0.44, 0, 0.0842723
0.18, 0.44, 0, 0.0934813
0.2, 0.44, 0, 0.102258
0.22, 0.44, 0, 0.110572
0.24, 0.44, 0, 0.118396
0.26, 0.44, 0, 0.125707
0.28, 0.44, 0, 0.132485
0.3, 0.44, 0, 0.138713
0.32, 0.44, 0, 0.144379
0.34, 0.44, 0, 0.149472
0.36, 0.44, 0, 0.153982
0.38, 0.44, 0, 0.1579
0.4, 0.44, 0, 0.161223
0.42, 0.44, 0, 0.163944
0.44, 0.44, 0, 0.166065
0.46, 0.44, 0, 0.167584
0.48, 0.44, 0, 0.168495
0.5, 0.44, 0, 0.1688
0.52, 0.44, 0, 0.168496
0.54, 0.44, 0, 0.167584
0.56, 0.44, 0, 0.166068
0.58, 0.44, 0, 0.163948
0.6, 0.44, 0, 0.161227
0.62, 0.44, 0, 0.157906
0.64, 0.44, 0, 0.153989
0.66, 0.44, 0, 0.149482
0.68, 0.44, 0, 0.144392
0.7, 0.44, 0, 0.138727
0.72, 0.44, 0, 0.132498
